"First Name","Last Name","Email","Section","Quiz 0 (Individual): Introduction","Quiz 0 (Group): Introduction","Quiz 1 (Individual): Basics","Quiz 1 (Group): Basics","Assignment 1: Basics","Assignment 1+: More basics","Project 1: BMI","Quiz 2 (Individual): Decisions and booleans","Quiz 2 (Group): Decisions and booleans","Assignment 2: Decisions and Booleans","Assignment 2+: Decisions and booleans","Quiz 3 (Individual): While loops","Quiz 3 (Group): While loops","Assignment 3: While loops","Assignment 3+: While loops","Project 2: Commission","Quiz 4 (Individual): For loops","Quiz 4 (Group): For loops","Assignment 4: For loops","Assignment 4+: For loops","Quiz 5 (Individual): Algorithms and git","Quiz 5 (Group): Algorithms and git","Assignment 5+: Algorithms","Assignment 5: Algorithms and git","Project 3: Mult and harmonic","Midterm 1","Quiz 6 (Individual): Strings","Quiz 6 (Group): Strings","Assignment 6: Strings","Assignment 6+: Strings","Project 4: Calculator","Quiz 7 (Individual): Functions","Quiz 7 (Group): Functions","Assignment 7: Functions","Assignment 7+: Functions","Quiz 8 (Individual): Functions","Quiz 8 (Group): Functions","Assignment 8+: Functions for homework and fun","Assignment 8: TileTraveller","Quiz 9 (Individual): Files and exceptions","Quiz 9 (Group): Files and exceptions","Assignment 9: Files and Exceptions","Project 5: Hex and Decimal","Assignment 9+: Files and Exceptions","Quiz 10 (Individual): Lists","Quiz 10 (Group): Lists","Assignment 10: Lists","Assignment 10+: Lists","Project 6: Data Processing","Quiz 11 (Individual): Lists and tuples","Quiz 11 (Group): Lists and tuples","Assignment 11: Lists and tuples","Assignment 11+: Lists and tuples","Quiz 12 (Individual): More on functions","Quiz 12 (Group): More on functions","Assignment 12: More on functions","Assignment 12+: Snakes and Ladders","Project 7: Grades","Æfingapróf: Midterm 2 (2020)","Midterm 2","Assignment 13+: Functions return","Assignment 13: TileTraveller2","Project 8: Airline Seating","Quiz 13 (Individual): Dictionaries","Quiz 13 (Group): Dictionaries","Assignment 14: Dictionaries","Assignment 14+: Dictionaries","Quiz 14 (Individual): Sets and scope","Quiz 14 (Group): Sets and scope","Assignment 15: Sets","Assignment 15+: Customer Analytics","Project 9: Word classes","Æfingaverkefni: Stock prices (2019)"
"Romilda","Vane","93@hsww.co.uk","Gr","35.0","50.0","45.0","45.0","30.0","15.0","10.0","40.0","50.0","30.0","10.0","40.0","40.0","15.0","0.0","9.0","45.0","50.0","30.0","0.0","45.0","50.0","0","5.0","19.0","39.5","45.0","50.0","30.0","0","19.0","40.0","50.0","25.0","0.0","40.0","45.0","0","5.0","30.0","40.0","10.0","20.0","0","30.0","45.0","14.0","0","20.0","50.0","50.0","25.0","0.0","45.0","50.0","15.0","0","18.0","20.0","64.0","0.0","17.0","10.0","40.0","50.0","20.0","0","35.0","40.0","15.0","0","0.0","0"
"Mandy","Brocklehurst","mandy91@hsww.co.uk","Ra","40.0","50.0","45.0","45.0","30.0","24.0","10.0","40.0","50.0","30.0","16.0","40.0","50.0","30.0","15.0","9.0","40.0","50.0","30.0","5.0","40.0","45.0","0.0","10.0","20.0","40.0","30.0","45.0","30.0","0.0","19.0","40.0","50.0","25.0","0.0","45.0","50.0","0.0","5.0","15.0","25.0","0.0","11.0","0","30.0","40.0","14.0","0","16.0","40.0","50.0","20.0","0.0","35.0","45.0","25.0","0.0","18.0","0","57.0","0","17.0","18.0","25.0","40.0","20.0","0.0","30.0","50.0","15.0","0","0","0"
"Katie","Bell","katie90@hsww.co.uk","Gr","25.0","50.0","30.0","40.0","29.0","3.0","10.0","30.0","45.0","30.0","16.0","20.0","45.0","25.0","0.0","10.0","45.0","50.0","30.0","0","25.0","45.0","0.0","10.0","17.0","38.0","40.0","50.0","25.0","0","20.0","25.0","45.0","25.0","0.0","27.0","45.0","0","5.0","35.0","40.0","20.0","19.0","0","30.0","45.0","11.0","0.0","20.0","30.0","45.0","25.0","0","20.0","40.0","20.0","0.0","20.0","20.0","46.0","0","17.0","20.0","20.0","40.0","15.0","0","40.0","45.0","15.0","0","0.0","0"
"Dean","Thomas","dean91@hsww.co.uk","Gr","45.0","50.0","45.0","45.0","30.0","24.0","10.0","45.0","45.0","30.0","16.0","50.0","50.0","30.0","18.0","10.0","15.0","50.0","30.0","15.0","40.0","40.0","10.0","10.0","20.0","40.0","35.0","35.0","30.0","14.0","20.0","40.0","40.0","25.0","0.0","30.0","30.0","0.0","5.0","0","0","0.0","20.0","5.0","40.0","45.0","24.0","0.0","16.0","10.0","37.0","25.0","0.0","25.0","30.0","25.0","0","20.0","0","79.0","0.0","17.0","20.0","25.0","35.0","25.0","0","40.0","40.0","15.0","5.0","10.0","0"
"Patricia","Stimpson","patricia89@hsww.co.uk","Gr","40.0","35.0","45.0","45.0","30.0","24.0","10.0","30.0","50.0","30.0","16.0","40.0","50.0","30.0","3.0","10.0","45.0","45.0","30.0","1.0","20.0","40.0","0.0","10.0","19.0","40.0","50.0","50.0","30.0","0","18.0","40.0","50.0","7.0","10.0","25.0","40.0","0","5.0","25.0","35.0","10.0","19.0","0.0","40.0","40.0","15.0","0.0","0.0","45.0","45.0","25.0","0","45.0","45.0","18.0","0","0.0","0.0","47.0","0","17.0","0.0","40.0","45.0","15.0","0","30.0","35.0","15.0","0","0","0"
"Lisa","Turpin","lisa91@hsww.co.uk","Ra","25.0","50.0","40.0","40.0","30.0","24.0","10.0","30.0","50.0","30.0","16.0","30.0","45.0","17.75","0.0","9.0","50.0","50.0","25.0","0.0","0.0","0","10.0","10.0","20.0","36.0","45.0","45.0","30.0","0.0","18.0","30.0","50.0","20.0","0.0","30.0","45.0","0.0","5.0","25.0","35.0","20.0","16.0","0.0","40.0","40.0","14.0","0.0","16.0","45.0","45.0","25.0","0.0","35.0","50.0","15.0","0.0","20.0","0.0","71.0","0.0","17.0","15.0","35.0","45.0","15.0","0","30.0","50.0","15.0","0.0","1.0","0"
"Colin","Creevey","colin92@hsww.co.uk","Gr","45.0","45.0","40.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","45.0","45.0","30.0","12.0","9.0","50.0","50.0","30.0","15.0","35.0","45.0","10.0","10.0","18.0","38.0","50.0","50.0","29.0","14.0","18.0","40.0","50.0","25.0","30.0","35.0","50.0","0.0","5.0","22.0","30.0","25.0","19.0","0.0","40.0","40.0","19.0","0.0","18.0","40.0","40.0","25.0","0.0","30.0","35.0","25.0","0.0","20.0","0.0","78.0","0.0","17.0","18.0","25.0","40.0","25.0","0.0","35.0","50.0","15.0","0.0","0.0","0"
"Vincent","Crabbe","vincent91@hsww.co.uk","Sl","40.0","40.0","45.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","0.0","25.0","35.0","15.0","0.0","10.0","45.0","45.0","20.0","0","0","0","0","0.0","20.0","40.0","40.0","45.0","25.0","0","20.0","40.0","45.0","20.0","0","32.0","40.0","0.0","5.0","30.0","35.0","5.0","20.0","0.0","35.0","45.0","3.0","0","20.0","50.0","50.0","20.0","0.0","35.0","35.0","0.0","0","20.0","36.0","56.0","0","10.0","20.0","30.0","35.0","10.0","0","35.0","35.0","15.0","0","0.0","0"
"Alicia","Spinnet","alicia89@hsww.co.uk","Gr","40.0","45.0","45.0","45.0","30.0","24.0","10.0","45.0","50.0","30.0","16.0","40.0","45.0","30.0","0","9.0","45.0","50.0","30.0","0.0","0","0","0","10.0","0.0","36.0","0","0","0","0","19.0","20.0","45.0","25.0","0.0","0.0","45.0","0","0.0","15.0","0","0","0.0","0","40.0","40.0","10.0","0","0","30.0","45.0","25.0","0","40.0","45.0","3.0","0","10.0","0","63.0","0","17.0","0.0","0","0","0","0","40.0","50.0","5.0","0","0.0","0"
"Millicent","Bulstrode","millicent91@hsww.co.uk","Sl","50.0","45.0","45.0","40.0","30.0","24.0","10.0","50.0","45.0","30.0","16.0","50.0","45.0","30.0","18.0","9.0","45.0","50.0","30.0","15.0","45.0","45.0","5.0","10.0","20.0","40.0","45.0","50.0","30.0","5.0","20.0","40.0","45.0","25.0","20.0","40.0","45.0","3.0","5.0","35.0","40.0","20.0","20.0","5.0","45.0","45.0","24.0","0","16.0","45.0","45.0","25.0","0.0","40.0","35.0","25.0","0.0","20.0","30.0","78.0","9.0","17.0","18.0","30.0","35.0","25.0","0","50.0","50.0","15.0","0","10.0","0"
"Lee","Jordan","lee89@hsww.co.uk","Gr","0.0","0","40.0","45.0","18.0","0.0","10.0","35.0","40.0","30.0","0.0","15.0","50.0","10.0","0","10.0","45.0","50.0","30.0","0.0","0","0","0.0","10.0","12.0","40.0","0","0","0","0","17.0","0.0","0.0","0","0","0","0","0","0","15.0","30.0","10.0","6.0","0.0","15.0","0","2.0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","10.0","0","0","0","0","0","0","0","0","0","0"
"Parvati","Patil","parvati91@hsww.co.uk","Gr","45.0","50.0","0","0","0.0","0.0","10.0","40.0","50.0","30.0","0.0","0","0","0.0","0","10.0","0","0","0.0","0","40.0","45.0","5.0","10.0","19.0","40.0","0","0.0","0","0.0","20.0","35.0","35.0","20.0","0","37.0","35.0","0.0","5.0","15.0","25.0","15.0","20.0","0.0","30.0","40.0","14.0","0","19.0","0","0","0.0","0","35.0","50.0","15.0","0","0.0","40.0","56.0","0.0","17.0","19.0","30.0","50.0","25.0","0","25.0","45.0","15.0","0","10.0","0"
"Padma","Patil","padma91@hsww.co.uk","Ra","40.0","45.0","35.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","30.0","50.0","25.0","0.0","10.0","0","0","5.0","0.0","35.0","50.0","0.0","10.0","20.0","38.0","40.0","45.0","29.0","0.0","18.0","0","0","25.0","0.0","40.0","45.0","0.0","5.0","25.0","35.0","20.0","18.0","0.0","35.0","40.0","9.0","0.0","13.0","0","0","25.0","0.0","0","0","7.5","0","18.0","30.0","62.0","0.0","17.0","10.0","45.0","45.0","20.0","0.0","35.0","50.0","15.0","0","0.0","0"
"Pansy","Parkinson","pansy91@hsww.co.uk","Sl","0.0","0","0.0","0","0.0","0","10.0","0","0","0","0","10.0","40.0","20.0","0","10.0","0","0","5.0","0","0","0","0.0","0","0.0","0","0","0","0","0","20.0","30.0","0","22.5","0.0","10.0","0","0.0","0","12.0","20.0","2.0","0.0","0","25.0","35.0","10.0","0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cormac","McLaggen","cormac90@hsww.co.uk","Gr","0.0","0","0.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","7.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ginny","Weasley","ginny92@hsww.co.uk","Gr","45.0","50.0","40.0","40.0","30.0","15.0","10.0","35.0","40.0","30.0","0.0","20.0","35.0","15.0","0.0","10.0","40.0","50.0","20.0","0","40.0","45.0","0.0","5.0","20.0","40.0","20.0","40.0","30.0","0","18.0","30.0","40.0","20.0","0","25.0","45.0","0","5.0","10.0","25.0","15.0","16.0","0.0","30.0","40.0","9.0","0","16.0","38.0","40.0","20.0","0","25.0","45.0","20.0","0.0","20.0","14.0","7.0","0","0","20.0","40.0","50.0","15.0","0","35.0","35.0","10.0","0","0.0","0"
"Terry","Boot","terry91@hsww.co.uk","Ra","40.0","45.0","35.0","40.0","12.0","0.0","8.0","5.0","40.0","4.0","0","15.0","20.0","0.0","0","7.0","30.0","35.0","0.0","0","0.0","0","0","0.0","7.0","0.0","15.0","15.0","4.0","0","3.0","30.0","40.0","0.0","0","15.0","35.0","0","0.0","5.0","5.0","0.0","0.0","0","20.0","35.0","0.0","0","0.0","30.0","30.0","0.0","0","5.0","35.0","0.0","0","2.0","0.0","0.0","0","0.0","2.0","20.0","10.0","0.0","0","25.0","30.0","0.0","0","0","0"
"Gregory","Goyle","gregory91@hsww.co.uk","Sl","45.0","40.0","40.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","11.0","35.0","45.0","25.0","0.0","10.0","45.0","50.0","30.0","10.0","45.0","50.0","0.0","10.0","19.0","39.0","50.0","50.0","30.0","0.0","20.0","35.0","45.0","25.0","0","35.0","50.0","0.0","5.0","25.0","25.0","25.0","20.0","0","40.0","45.0","14.0","0","20.0","43.0","48.0","25.0","0","0","0","0.0","0.0","20.0","0.0","26.0","0.0","17.0","0.0","30.0","35.0","7.0","0","25.0","30.0","10.0","0","0.0","0"
"Lavender","Brown","lavender91@hsww.co.uk","Gr","45.0","40.0","45.0","45.0","24.0","24.0","10.0","45.0","50.0","30.0","16.0","40.0","45.0","30.0","0.0","9.0","45.0","50.0","30.0","15.0","45.0","50.0","5.0","10.0","20.0","39.0","45.0","45.0","30.0","14.0","18.0","35.0","50.0","25.0","20.0","45.0","45.0","0.0","5.0","30.0","35.0","25.0","19.0","6.0","30.0","40.0","24.0","10.0","17.0","40.0","40.0","25.0","5.0","40.0","50.0","25.0","5.0","20.0","0","0.0","0","17.0","20.0","0.0","0","25.0","5.0","0.0","0","15.0","0.0","10.0","0"
"Percy Ignatius","Weasley","percy87@hsww.co.uk","Gr","40.0","40.0","40.0","45.0","30.0","24.0","10.0","35.0","50.0","30.0","16.0","30.0","40.0","25.0","11.0","8.0","45.0","45.0","25.0","0.0","25.0","25.0","0.0","8.0","17.0","39.0","40.0","45.0","30.0","0","18.0","35.0","50.0","25.0","0.0","0","0","0.0","0.0","25.0","25.0","10.0","15.0","0.0","35.0","45.0","19.0","0","9.0","45.0","50.0","25.0","0.0","0","0","0.0","0","20.0","36.0","74.0","0","17.0","10.0","25.0","35.0","13.0","0","30.0","40.0","15.0","0","0.0","0"
"Neville","Longbottom","neville91@hsww.co.uk","Gr","40.0","40.0","35.0","45.0","30.0","0.0","10.0","35.0","50.0","30.0","16.0","25.0","40.0","23.0","0.0","10.0","35.0","50.0","20.0","0","30.0","40.0","0.0","10.0","20.0","40.0","45.0","50.0","25.0","0","18.0","25.0","35.0","25.0","0","35.0","45.0","0.0","5.0","15.0","30.0","20.0","18.0","0","0.0","20.0","5.0","0.0","16.0","20.0","15.0","10.0","0","0","25.0","4.0","0","17.0","0.0","45.0","0.0","0.0","20.0","25.0","25.0","15.0","0","0","0","0.0","0.0","0.0","0"
"Penelope","Clearwater","penelope88@hsww.co.uk","Ra","0.0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dennis","Creevey","dennis94@hsww.co.uk","Gr","50.0","50.0","40.0","45.0","30.0","24.0","10.0","35.0","50.0","30.0","16.0","40.0","45.0","15.0","18.0","10.0","40.0","50.0","30.0","0.0","35.0","35.0","0.0","10.0","20.0","39.0","25.0","45.0","25.0","0.0","16.0","30.0","40.0","25.0","0","35.0","45.0","0.0","5.0","15.0","20.0","20.0","0.0","0","30.0","40.0","16.0","0","16.0","35.0","40.0","25.0","0","35.0","45.0","20.0","0","20.0","20.0","69.0","0","17.0","18.0","30.0","35.0","15.0","0","20.0","35.0","10.0","0","0.0","0"
"Su","Li","su91@hsww.co.uk","Ra","0.0","0.0","0.0","0","0","0","7.5","0","0","0","0.0","0","0","0","0","7.0","0","0","0.0","0","0","0","0","0","2.0","12.0","0","0","0","0","14.0","0","0","0","0","0","0","0","0","0","0","0","8.0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0","0","0","0","0","0","0"
"Hannah","Abbott","hannah91@hsww.co.uk","Hu","20.0","45.0","25.0","45.0","30.0","0.0","10.0","20.0","50.0","20.0","0.0","15.0","40.0","5.0","0","9.75","10.0","50.0","5.0","0","30.0","35.0","0","5.0","20.0","11.0","10.0","45.0","0.0","0.0","16.0","5.0","40.0","10.0","0","0","45.0","0.0","5.0","0.0","25.0","5.0","0.0","0","0","0","0","0","0.0","0","0","0","0","25.0","45.0","6.5","0","0.0","0.0","10.0","0","17.0","0.0","0","0","0","0","30.0","40.0","0.0","0.0","0","0"
"Harry","Potter","harry91@hsww.co.uk","Gr","40.0","40.0","45.0","45.0","30.0","24.0","10.0","50.0","45.0","30.0","16.0","45.0","50.0","25.0","18.0","9.0","45.0","50.0","30.0","15.0","35.0","35.0","5.0","10.0","18.0","40.0","50.0","50.0","25.0","14.0","18.0","45.0","45.0","25.0","0.0","45.0","50.0","0.0","5.0","30.0","30.0","22.0","20.0","0.0","40.0","45.0","10.0","0","20.0","40.0","50.0","24.0","0","50.0","50.0","16.0","0.0","20.0","36.0","79.0","0.0","17.0","20.0","50.0","50.0","20.0","0.0","40.0","45.0","15.0","0.0","10.0","0"
"Roger","Davies","roger89@hsww.co.uk","Ra","35.0","50.0","25.0","45.0","30.0","24.0","10.0","40.0","50.0","30.0","16.0","35.0","45.0","30.0","12.0","9.0","40.0","50.0","30.0","15.0","30.0","45.0","0.0","10.0","18.0","39.0","40.0","50.0","30.0","0.0","20.0","35.0","45.0","25.0","20.0","50.0","50.0","0.0","5.0","27.0","27.0","25.0","18.0","0.0","20.0","45.0","17.0","0","20.0","45.0","50.0","25.0","0.0","45.0","50.0","25.0","0.0","20.0","30.0","70.0","2.0","17.0","8.0","35.0","45.0","23.0","0.0","20.0","50.0","15.0","0.0","1.0","0"
"Fred","Weasley","fred89@hsww.co.uk","Gr","50.0","50.0","35.0","35.0","30.0","0.0","10.0","45.0","50.0","30.0","16.0","25.0","40.0","17.25","0.0","10.0","0","0","15.0","0.0","30.0","40.0","0.0","10.0","19.0","27.5","45.0","50.0","30.0","0.0","20.0","45.0","45.0","5.0","0.0","27.0","40.0","0","5.0","10.0","15.0","15.0","13.0","0","30.0","36.0","0.0","0.0","15.0","43.0","40.0","15.0","0","40.0","40.0","15.0","0","0.0","0.0","21.0","0.0","17.0","14.0","20.0","35.0","9.0","0","0","0","0.0","0","0","0"
"George","Weasley","george89@hsww.co.uk","Gr","0.0","0.0","35.0","45.0","24.0","0.0","10.0","40.0","50.0","29.75","0.0","35.0","30.0","25.0","0.0","9.75","45.0","50.0","16.0","0.0","35.0","45.0","0.0","10.0","20.0","29.5","40.0","50.0","25.0","0.0","18.0","40.0","45.0","25.0","0.0","30.0","40.0","0.0","5.0","15.0","30.0","20.0","0.0","0","25.0","40.0","5.0","0","20.0","45.0","45.0","5.0","0","5.0","25.0","10.0","0","20.0","40.0","30.0","0","17.0","18.0","10.0","45.0","25.0","0.0","30.0","45.0","3.0","0","1.0","0"
"Justin","Finch-Fletchley","justin91@hsww.co.uk","Hu","50.0","50.0","40.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","40.0","40.0","25.0","12.0","10.0","50.0","50.0","30.0","5.0","45.0","50.0","0.0","10.0","19.0","39.0","50.0","50.0","29.0","0.0","18.0","35.0","50.0","25.0","0.0","35.0","45.0","0.0","5.0","0","30.0","13.0","20.0","0.0","30.0","45.0","12.0","0","20.0","37.0","45.0","20.0","0","40.0","40.0","25.0","0","20.0","0","75.0","0","17.0","20.0","0","40.0","17.0","0.0","40.0","40.0","0.0","0","0.0","0"
"Morag","McDougal","morag91@hsww.co.uk","Ra","0.0","0.0","40.0","45.0","30.0","5.0","10.0","40.0","50.0","30.0","0.0","50.0","50.0","30.0","0","10.0","45.0","50.0","30.0","0","35.0","40.0","0","10.0","20.0","39.0","50.0","50.0","30.0","0","18.0","30.0","45.0","20.0","0","42.0","45.0","0","5.0","20.0","25.0","20.0","19.0","0","35.0","40.0","19.0","0","8.0","50.0","50.0","25.0","0","35.0","45.0","21.0","0","20.0","0","72.0","0","17.0","18.0","10.0","0","0.0","0","25.0","40.0","15.0","0","10.0","0"
