"First Name","Last Name","Email","Section","Quiz 0: Introduction","Assignment 1+: More basics","Quiz 1: Basics","Assignment 1: Basics","Quiz 2: Decisions and booleans","Assignment 2: Decisions and booleans","Assignment 2+: Decisions and booleans","Project 1: Voyager","Quiz 3: While loops","Assignment 3: While loops","Assignment 3+: While loops","Project 2: Car rental","Quiz 4: For loops","Assignment 4: For loops","Assignment 4+: For loops","Assignment 5: Algorithms and git","Quiz 5: Algorithms and git","Assignment 5+: Algorithms","Project 3: Fibo and abundant","Midterm 1","Quiz 6: Strings","Assignment 6+: Strings","Assignment 6: Strings","Project 4: Passwords","Quiz 7: Functions","Assignment 7: Functions","Assignment 7+: Functions","Quiz 8: Functions","Assignment 8+: Functions for homework and fun","Assignment 8: TileTraveller","Project 5: Math functions","Quiz 9: Files and exceptions","Assignment 9: Files and exceptions","Assignment 9+: Files and Exceptions","Quiz 10: Lists","Assignment 10: Lists","Assignment 10+: Lists","Project 6: Sequence Analysis","Quiz 11: Lists and tuples","Assignment 11: Lists and tuples","Assignment 11+: Lists and tuples","Quiz 12: More on functions","Assignment 12: More on functions","Æfingapróf: Midterm 2 (2019)","Æfingaverkefni: Stock prices","Assignment 12+: Snakes and Ladders"
"Romilda","Vane","93@hsww.co.uk","Gr","0","0","0","0","0","0","16.0","10.0","0","0","0","10.0","0","0","0","0","0","0","8.0","22.0","0","0","19.0","10.0","0","0","0","25.0","0","5.0","8.0","10.0","0","0","0","11.0","0","10.0","25.0","0","0","35.0","10.0","0","0","0"
"Mandy","Brocklehurst","mandy91@hsww.co.uk","Ra","45.0","24.0","50.0","30.0","50.0","30.0","16.0","10.0","50.0","30.0","18.0","10.0","50.0","30.0","15.0","10.0","40.0","10.0","10.0","39.0","50.0","14.0","35.0","7.0","45.0","34.0","30.0","40.0","15.0","5.0","10.0","45.0","25.0","10.0","50.0","20.0","10.0","10.0","50.0","25.0","5.0","45.0","25.0","100.0","0","5.0"
"Katie","Bell","katie90@hsww.co.uk","Gr","30.0","0.0","30.0","25.0","50.0","30.0","0.0","10.0","35.0","30.0","0.0","10.0","45.0","30.0","0.0","10.0","50.0","0.0","8.0","37.0","25.0","0","35.0","9.0","25.0","34.0","0","35.0","0","5.0","8.0","15.0","0.0","0","50.0","15.0","0","0.0","40.0","25.0","0","45.0","25.0","0","0","0"
"Dean","Thomas","dean91@hsww.co.uk","Gr","30.0","0","45.0","30.0","50.0","30.0","0.0","10.0","50.0","30.0","0","10.0","50.0","30.0","0","10.0","45.0","0.0","8.0","38.0","45.0","0","35.0","10.0","45.0","34.0","0","50.0","0","0.0","8.0","35.0","25.0","0.0","50.0","15.0","0","10.0","50.0","25.0","0","50.0","20.0","0","0","0"
"Patricia","Stimpson","patricia89@hsww.co.uk","Gr","50.0","0.0","40.0","30.0","50.0","0.0","7.0","10.0","40.0","20.0","0.0","8.0","40.0","19.0","0","5.0","40.0","0","10.0","36.0","50.0","0","23.0","4.0","25.0","31.0","0","45.0","0","5.0","0.0","25.0","0.0","0","35.0","5.0","0","0.0","35.0","20.0","0","0","7.0","0","0","0"
"Lisa","Turpin","lisa91@hsww.co.uk","Ra","40.0","0.0","50.0","30.0","50.0","30.0","0.0","10.0","45.0","30.0","0","9.0","45.0","30.0","0.0","10.0","35.0","0.0","9.0","38.0","40.0","0","34.0","10.0","40.0","34.0","0","50.0","0","5.0","9.0","40.0","25.0","0.0","45.0","20.0","0","2.0","45.0","25.0","0","40.0","25.0","0","0","0"
"Colin","Creevey","colin92@hsww.co.uk","Gr","50.0","0","40.0","30.0","50.0","30.0","0.0","10.0","50.0","30.0","0","10.0","45.0","30.0","0","10.0","50.0","0.0","10.0","39.0","40.0","0","35.0","9.0","40.0","34.0","0","45.0","0.0","5.0","8.0","45.0","25.0","0.0","45.0","20.0","0","10.0","50.0","25.0","0","40.0","25.0","0.0","0","0"
"Kevin","Entwhistle","kevin91@hsww.co.uk","Ra","50.0","0.0","45.0","30.0","50.0","30.0","0","10.0","50.0","30.0","0","10.0","50.0","30.0","0","10.0","50.0","0","8.0","39.0","50.0","0","35.0","10.0","45.0","32.0","0","45.0","0","5.0","10.0","40.0","25.0","0","50.0","15.0","0","8.0","50.0","25.0","0","35.0","23.0","0","0","0"
"Alicia","Spinnet","alicia89@hsww.co.uk","Gr","45.0","0.0","50.0","30.0","50.0","30.0","16.0","10.0","50.0","30.0","16.0","10.0","50.0","30.0","13.0","10.0","45.0","5.0","10.0","40.0","45.0","0","35.0","9.0","40.0","34.0","0","50.0","0","5.0","9.0","50.0","25.0","0","35.0","20.0","0.0","10.0","50.0","25.0","0","50.0","25.0","28.0","0","0"
"Millicent","Bulstrode","millicent91@hsww.co.uk","Sl","50.0","0.0","40.0","30.0","45.0","30.0","0.0","10.0","35.0","30.0","0.0","10.0","45.0","25.0","0.0","10.0","40.0","0.0","8.0","37.0","45.0","0","35.0","10.0","35.0","21.0","0","40.0","0","5.0","8.0","35.0","25.0","0.0","0.0","15.0","0","10.0","45.0","25.0","0","0","0.0","0","0","0.0"
"Lee","Jordan","lee89@hsww.co.uk","Gr","0.0","0.0","0.0","0","30.0","19.0","0.0","10.0","0","0","0.0","10.0","45.0","30.0","0.0","0","0","0.0","8.0","37.0","0.0","0","10.0","9.0","25.0","19.0","0.0","0","0.0","0.0","0.0","15.0","5.0","0","0.0","0.0","0","0.0","40.0","0.0","0","0","0","0","0","0"
"Parvati","Patil","parvati91@hsww.co.uk","Gr","0.0","0.0","25.0","15.0","40.0","10.0","0","5.0","35.0","15.0","0","4.0","45.0","25.0","0","5.0","30.0","0","0.0","29.0","30.0","0.0","29.0","0.0","20.0","21.0","0","35.0","0","5.0","0.0","40.0","20.0","0","45.0","15.0","0.0","0.0","50.0","25.0","0","40.0","20.0","0","0","0"
"Padma","Patil","padma91@hsww.co.uk","Ra","40.0","0","30.0","30.0","50.0","30.0","0.0","10.0","0","0.0","0","10.0","50.0","30.0","0","10.0","40.0","0","6.0","39.0","40.0","0","35.0","9.0","20.0","34.0","0","40.0","0","5.0","0.0","25.0","25.0","0.0","0","0.0","0","0.0","35.0","25.0","0","40.0","0","0","0","0"
"Pansy","Parkinson","pansy91@hsww.co.uk","Sl","40.0","0.0","50.0","30.0","45.0","30.0","0.0","10.0","45.0","30.0","0.0","8.0","45.0","30.0","0.0","10.0","40.0","0.0","8.0","39.0","35.0","0","35.0","7.0","30.0","24.0","0","35.0","0","0.0","9.0","40.0","20.0","0","50.0","15.0","0","10.0","40.0","15.0","0","45.0","13.0","0.0","0","0"
"Cormac","McLaggen","cormac90@hsww.co.uk","Gr","50.0","0.0","50.0","30.0","50.0","30.0","0","10.0","50.0","30.0","0","10.0","50.0","30.0","0","10.0","50.0","0","8.0","38.0","45.0","0","35.0","8.0","35.0","29.0","0","45.0","0","5.0","6.0","30.0","25.0","0","50.0","15.0","0","10.0","50.0","25.0","0","50.0","25.0","0","0","0"
"Ginny","Weasley","ginny92@hsww.co.uk","Gr","20.0","0.0","20.0","0.0","50.0","30.0","0.0","10.0","45.0","20.0","0.0","10.0","45.0","25.0","0.0","10.0","35.0","0.0","10.0","28.0","45.0","0","15.0","8.0","35.0","19.0","0","40.0","0","5.0","6.0","35.0","23.0","0","35.0","10.0","0","10.0","45.0","25.0","0","40.0","15.0","0","0","0"
"Terry","Boot","terry91@hsww.co.uk","Ra","35.0","0.0","50.0","30.0","50.0","30.0","11.0","10.0","50.0","30.0","7.0","10.0","45.0","30.0","0.0","10.0","45.0","5.0","8.0","39.0","40.0","0","35.0","8.0","40.0","34.0","0","50.0","0","5.0","10.0","45.0","25.0","0","50.0","20.0","0","10.0","50.0","25.0","5.0","50.0","21.0","0.0","0","0"
"Gregory","Goyle","gregory91@hsww.co.uk","Sl","45.0","0.0","50.0","30.0","50.0","30.0","16.0","10.0","50.0","30.0","0.0","10.0","40.0","25.0","0","8.0","0","0","8.0","37.0","40.0","0","35.0","7.0","35.0","31.0","0","50.0","0","5.0","6.0","35.0","25.0","0.0","40.0","15.0","0","0.0","45.0","25.0","0","40.0","12.0","0.0","0","0"
"Lavender","Brown","lavender91@hsww.co.uk","Gr","50.0","0.0","50.0","30.0","50.0","30.0","0.0","10.0","35.0","30.0","0.0","10.0","40.0","30.0","0.0","10.0","35.0","0","10.0","38.0","40.0","0","35.0","10.0","40.0","31.0","0","35.0","0","5.0","8.0","40.0","25.0","0.0","50.0","15.0","0","10.0","45.0","25.0","0.0","45.0","25.0","0","0","0"
"Percy Ignatius","Weasley","percy87@hsww.co.uk","Gr","40.0","0","30.0","25.0","45.0","30.0","0","10.0","35.0","30.0","0.0","10.0","40.0","25.0","0","10.0","20.0","0","8.0","37.0","40.0","0","25.0","8.0","20.0","24.0","0","0","0","0.0","0.0","25.0","18.0","0","45.0","10.0","0","0.0","35.0","15.0","0","45.0","15.0","0","0","0"
"Neville","Longbottom","neville91@hsww.co.uk","Gr","50.0","0.0","35.0","30.0","40.0","30.0","0","10.0","40.0","30.0","0.0","10.0","45.0","30.0","0","5.0","45.0","0","10.0","24.0","30.0","0","25.0","9.0","20.0","1.0","0","35.0","0","5.0","2.0","20.0","15.0","0","0","0","0","10.0","20.0","25.0","0","40.0","10.0","0.0","0","0"
"Penelope","Clearwater","penelope88@hsww.co.uk","Ra","0.0","0.0","40.0","5.0","0","0.0","0.0","7.0","0","0.0","0.0","10.0","0","29.0","0.0","5.0","45.0","0.0","8.0","26.0","25.0","0","11.0","4.0","0","0.0","0.0","40.0","0","5.0","3.0","0","0.0","0","40.0","5.0","0","0.0","0","0.0","0.0","10.0","13.0","35.0","0","0"
"Dennis","Creevey","dennis94@hsww.co.uk","Gr","45.0","0.0","50.0","30.0","50.0","30.0","16.0","10.0","50.0","30.0","0.0","10.0","50.0","30.0","0.0","10.0","50.0","0","10.0","40.0","50.0","1.0","35.0","10.0","45.0","34.0","0.0","50.0","0","5.0","10.0","40.0","25.0","0","50.0","20.0","0","10.0","50.0","25.0","0","45.0","19.0","0","0","0"
"Su","Li","su91@hsww.co.uk","Ra","45.0","0.0","40.0","30.0","50.0","0.0","0.0","10.0","45.0","30.0","0.0","10.0","50.0","23.0","0","10.0","35.0","0","8.0","39.0","45.0","0","33.0","10.0","25.0","31.0","0","15.0","0","5.0","10.0","35.0","25.0","0","0.0","0.0","0","7.0","20.0","0.0","0","0","0","0.0","0","0"
"Hannah","Abbott","hannah91@hsww.co.uk","Hu","40.0","0.0","45.0","30.0","45.0","30.0","0.0","10.0","40.0","30.0","0.0","0.0","45.0","25.0","0","5.0","40.0","0","10.0","15.0","45.0","0","35.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","35.0","25.0","0","35.0","20.0","0","0","0"
"Harry","Potter","harry91@hsww.co.uk","Gr","40.0","0","50.0","15.0","0","0","0","10.0","15.0","0","0.0","0.0","45.0","10.0","0","10.0","0","0.0","5.0","36.0","0","0","0","0.0","0","0","0","0","0","0","3.0","0","0","0","40.0","10.0","0","0","30.0","15.0","0","40.0","0","0","0","0"
"Roger","Davies","roger89@hsww.co.uk","Ra","50.0","18.0","50.0","30.0","45.0","30.0","16.0","10.0","50.0","30.0","16.0","10.0","50.0","23.0","10.0","10.0","50.0","10.0","10.0","38.0","50.0","0.0","33.0","10.0","40.0","34.0","0.0","45.0","0.0","5.0","10.0","40.0","25.0","0.0","25.0","0","0","7.0","50.0","25.0","0.0","40.0","19.0","0","0","0.0"
"Fred","Weasley","fred89@hsww.co.uk","Gr","45.0","0.0","0.0","30.0","45.0","30.0","0","10.0","50.0","30.0","0.0","10.0","45.0","30.0","0","10.0","35.0","0","8.0","39.0","45.0","0","35.0","8.0","40.0","34.0","0","45.0","0","5.0","10.0","25.0","25.0","0","40.0","15.0","0","0.0","45.0","25.0","0","45.0","25.0","0","0","0"
"George","Weasley","george89@hsww.co.uk","Gr","45.0","0.0","40.0","30.0","50.0","30.0","0.0","10.0","35.0","21.0","0.0","10.0","40.0","30.0","0.0","5.0","25.0","0.0","6.0","24.0","50.0","0","35.0","8.0","15.0","34.0","0","30.0","0.0","5.0","2.0","30.0","14.0","0","45.0","15.0","0","0.0","40.0","18.0","0.0","40.0","5.0","0.0","0","0"
"Justin","Finch-Fletchley","justin91@hsww.co.uk","Hu","40.0","0","40.0","30.0","45.0","30.0","0.0","10.0","40.0","30.0","12.0","10.0","40.0","30.0","0","10.0","25.0","0","8.0","27.0","45.0","0","20.0","10.0","30.0","19.0","0","45.0","0","5.0","4.0","20.0","15.0","0","40.0","15.0","0","1.0","0","0","0","35.0","15.0","0","0","0"
"Morag","McDougal","morag91@hsww.co.uk","Ra","45.0","24.0","50.0","30.0","50.0","30.0","5.0","10.0","50.0","30.0","0.0","10.0","45.0","30.0","0","10.0","40.0","0","8.0","38.0","45.0","0","35.0","10.0","40.0","19.0","0","45.0","0.0","5.0","10.0","45.0","25.0","0.0","45.0","20.0","0.0","10.0","50.0","23.0","0.0","50.0","17.0","0","0","0"
"Draco","Malfoy","draco91@hsww.co.uk","Sl","35.0","0.0","40.0","30.0","50.0","30.0","0","10.0","50.0","30.0","0.0","10.0","50.0","30.0","0","10.0","45.0","0","10.0","32.0","45.0","0","35.0","8.0","45.0","34.0","0.0","40.0","0.0","5.0","8.0","30.0","25.0","0.0","50.0","18.0","0.0","10.0","40.0","23.0","0","50.0","12.0","0","0","0"
"Charlie","Weasley","charlie83@hsww.co.uk","Gr","45.0","0.0","50.0","30.0","50.0","30.0","0","10.0","50.0","30.0","17.0","10.0","50.0","30.0","0.0","5.0","35.0","0","8.0","38.0","45.0","0.0","26.0","9.0","50.0","34.0","0.0","45.0","0.0","5.0","8.0","45.0","25.0","0","40.0","20.0","0","10.0","50.0","25.0","0","45.0","18.0","30.0","0","0"
"Ronald","Weasley","ronald91@hsww.co.uk","Gr","25.0","0.0","30.0","30.0","45.0","30.0","0.0","10.0","45.0","30.0","0","9.0","50.0","30.0","0","10.0","50.0","0","8.0","31.0","50.0","0","35.0","10.0","15.0","24.0","0","45.0","0","5.0","4.0","30.0","25.0","0","50.0","15.0","0","0.0","45.0","25.0","0","50.0","25.0","0","0","0"
"Tracey","Davis","tracey91@hsww.co.uk","Sl","50.0","0.0","50.0","30.0","50.0","30.0","0","10.0","50.0","30.0","0.0","10.0","50.0","30.0","0","10.0","50.0","0.0","10.0","38.0","50.0","0","35.0","10.0","50.0","34.0","0","50.0","0","5.0","10.0","0","25.0","0","50.0","20.0","0","10.0","50.0","25.0","0","50.0","25.0","0.0","0","0"
"Cho","Chang","cho90@hsww.co.uk","Ra","35.0","0","35.0","30.0","50.0","30.0","0.0","10.0","40.0","30.0","0","10.0","50.0","30.0","0","10.0","35.0","0.0","10.0","30.0","25.0","0","35.0","8.0","20.0","32.0","0","30.0","0","5.0","9.0","25.0","25.0","0","30.0","10.0","0","10.0","0.0","25.0","0","45.0","19.0","0.0","0","0"
"Luna","Lovegood","luna92@hsww.co.uk","Ra","0.0","0.0","0.0","0.0","45.0","20.0","0.0","10.0","30.0","25.0","0.0","10.0","15.0","25.0","0.0","10.0","40.0","0","4.0","30.0","30.0","0","15.0","0.0","0","0.0","0.0","0","0","0.0","6.0","0","0.0","0","0","0","0","0.0","0","0.0","0.0","0","0","0","0","0"
"Anthony","Goldstein","anthony91@hsww.co.uk","Ra","50.0","0.0","50.0","30.0","50.0","30.0","16.0","10.0","50.0","30.0","18.0","10.0","50.0","30.0","15.0","10.0","50.0","10.0","10.0","39.0","40.0","14.0","35.0","10.0","45.0","34.0","5.0","45.0","0.0","5.0","10.0","40.0","25.0","0.0","50.0","15.0","5.0","10.0","50.0","25.0","0.0","50.0","20.0","0.0","0","0"
"Cedric","Diggory","cedric89@hsww.co.uk","Hu","30.0","0","0.0","0","40.0","24.0","0.0","10.0","35.0","25.0","0","10.0","40.0","30.0","0","0.0","0","0","8.0","38.0","20.0","0","20.0","10.0","30.0","24.0","0","35.0","0","5.0","6.0","20.0","15.0","0","40.0","15.0","0","0.0","30.0","9.0","0","40.0","15.0","0","0","0.0"
"Oliver","Wood","oliver87@hsww.co.uk","Gr","30.0","0","40.0","30.0","45.0","30.0","0.0","10.0","25.0","30.0","0","10.0","40.0","30.0","0","10.0","40.0","0","6.0","37.0","45.0","0.0","35.0","7.0","25.0","22.0","0","35.0","0","5.0","0.0","25.0","20.0","0","40.0","16.0","0","0.0","45.0","25.0","0","0","24.0","0","0","0"
"Susan","Bones","susan91@hsww.co.uk","Hu","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","25.0","0.0","6.0","45.0","30.0","0.0","0.0","35.0","0.0","10.0","39.0","50.0","0","27.0","7.0","40.0","19.0","0.0","40.0","0.0","5.0","10.0","35.0","19.0","0.0","45.0","16.0","0","8.0","50.0","15.0","0.0","30.0","7.0","0.0","0","0"
"Angelina","Johnson","angelina89@hsww.co.uk","Gr","35.0","0.0","50.0","30.0","50.0","30.0","16.0","10.0","50.0","30.0","18.0","10.0","0.0","30.0","0","10.0","35.0","0.0","8.0","39.0","40.0","0","35.0","10.0","0","0.0","0","45.0","0","5.0","8.0","40.0","25.0","0","50.0","15.0","0","10.0","40.0","25.0","0","45.0","10.0","0","0","0"
"Bill","Weasley","bill82@hsww.co.uk","Gr","45.0","0.0","35.0","30.0","35.0","30.0","0","10.0","25.0","30.0","0","4.0","40.0","30.0","0.0","10.0","0","0","8.0","21.0","35.0","0","25.0","1.0","25.0","5.0","0","0","0","0","4.0","40.0","25.0","0.0","45.0","5.0","0","1.0","35.0","25.0","0","45.0","20.0","0","0","0"
"Hermione","Granger","hermione91@hsww.co.uk","Gr","0","0.0","0","0","0","0","0","0","0","0","0.0","0.0","45.0","30.0","0.0","10.0","35.0","0.0","8.0","20.0","35.0","0","35.0","6.0","30.0","31.0","0","40.0","0","5.0","10.0","0.0","15.0","0.0","30.0","0.0","0","0.0","0","25.0","0","35.0","12.0","0","0","0"
"Kenneth","Towler","kenneth89@hsww.co.uk","Gr","0.0","0","50.0","30.0","45.0","30.0","0","10.0","0.0","0.0","0","10.0","35.0","25.0","0","5.0","30.0","0.0","8.0","38.0","45.0","0","35.0","8.0","20.0","24.0","0","45.0","0","5.0","10.0","15.0","25.0","0","25.0","20.0","0","0.0","40.0","25.0","0","35.0","19.0","0","0","0"
"Natalie","MacDonald","natalie94@hsww.co.uk","Gr","40.0","24.0","0.0","30.0","40.0","30.0","3.0","10.0","35.0","30.0","2.0","8.0","50.0","23.0","0.0","10.0","30.0","0.0","6.0","40.0","40.0","0.0","33.0","7.0","30.0","19.0","0","0","0","0","9.0","25.0","5.0","0","45.0","15.0","10.0","10.0","50.0","25.0","0.0","40.0","5.0","0","0","0"
"Vincent","Crabbe","vincent91@hsww.co.uk","Sl","35.0","0.0","35.0","30.0","35.0","30.0","0.0","10.0","25.0","25.0","0","10.0","40.0","25.0","0","10.0","25.0","0","8.0","39.0","45.0","0","25.0","7.0","10.0","19.0","0","30.0","0","0.0","0.0","30.0","0.0","0","30.0","20.0","0.0","0","0","0","0","20.0","10.0","0","0","0"
"Theodore","Nott","theodore91@hsww.co.uk","Sl","50.0","0.0","45.0","30.0","50.0","30.0","0","10.0","40.0","30.0","0","10.0","50.0","30.0","0","10.0","35.0","0","0.0","0.0","40.0","0","35.0","7.0","30.0","22.0","0","45.0","0","5.0","5.0","35.0","20.0","0","0","0","0.0","10.0","35.0","25.0","0","40.0","15.0","0","0","0"
"Jimmy","Peakes","jimmy94@hsww.co.uk","Gr","0.0","0.0","0.0","0.0","45.0","30.0","16.0","10.0","45.0","30.0","12.0","10.0","50.0","30.0","0.0","10.0","40.0","0","10.0","38.0","50.0","0.0","35.0","10.0","0","32.0","0.0","0.0","0","0.0","9.0","15.0","25.0","0","50.0","15.0","0.0","10.0","50.0","25.0","0","45.0","22.0","0.0","0","0"
